gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000050556	1403.9317259322675	0.1746004574571176	0.2022416437684583	0.0017246331210209681	0.2571693277369916
ENSMUSG00000039621	4209.50862937478	-0.1733783730167231	0.20263545480204276	0.0017560144834432108	0.2590058197090123
ENSMUSG00000042834	29672.395695647756	-0.1632344419497387	0.23824808713909756	0.0017838480300916685	0.26123180223528136
ENSMUSG00000006782	13349.136396405058	-0.1702470332986523	0.21954498443977208	0.0018612961866096925	0.270640385942354
ENSMUSG00000020538	2302.911969211545	0.14871033130657677	0.24087580884091855	0.001887071512633582	0.2712464307556135
ENSMUSG00000027854	2236.4183518199125	-0.16502816164553197	0.19422165001948022	0.0018919246706688487	0.2712464307556135
ENSMUSG00000000560	972.3754410542391	-0.14903621754009364	0.23670649631724666	0.0019869292198811655	0.2825377354570888
ENSMUSG00000029716	61.62924137823388	0.06411241581516641	0.22202166815049595	0.001998242690531552	0.2825377354570888
ENSMUSG00000100252	1880.0954996053338	0.1627792843146291	0.20091496582013027	0.002014606944819016	0.28290049029232506
ENSMUSG00000111360	24.88705180651858	0.022882494693973028	0.1464825476818536	0.0020560462360868594	0.2867555097432163
ENSMUSG00000057969	344.177683108937	0.1587726174108885	0.22286347495690437	0.0020805244650868773	0.2882088688054808
ENSMUSG00000020638	661.704145679749	0.15965162222790957	0.20550819944648183	0.0021252809187418072	0.2924329489667418
ENSMUSG00000047146	1593.3936732971524	-0.15676061024003454	0.19531705842689145	0.0021435905467693007	0.29298595593242804
ENSMUSG00000034765	3471.749402915063	-0.1555126664905386	0.19778181147688625	0.0022046263289532343	0.2968278123032279
ENSMUSG00000042532	3266.480906575196	-0.15275096359620025	0.18854583262295502	0.0021914879315103344	0.2968278123032279
ENSMUSG00000121134	742.2448533669686	-0.15178241808383183	0.22353495938300003	0.002215132927636029	0.2968278123032279
ENSMUSG00000040860	1041.60918849929	0.15529649221273653	0.20398669402045866	0.0022461507878433996	0.29902976267769726
ENSMUSG00000022212	449.2958075841575	0.11900616890196045	0.23324296797964514	0.0022783907106434386	0.30136494419104376
ENSMUSG00000054793	6629.734998561171	-0.13127530159724196	0.157666322464493	0.0023048579959864214	0.3029115297032924
ENSMUSG00000015396	793.4218361903364	0.1465802564407176	0.2195596917029468	0.002388659485256667	0.3067057231158533
ENSMUSG00000022639	199.4528043561421	-0.11166448744922515	0.23080175968324007	0.002368068859552318	0.3067057231158533
ENSMUSG00000026043	300.44951697753953	-0.13074914026620038	0.23006939634756252	0.002358061137248011	0.3067057231158533
ENSMUSG00000046687	151.55135569373647	0.10817155297883733	0.22990470079901673	0.0023935672470264623	0.3067057231158533
ENSMUSG00000061143	810.1055166439974	-0.14932226898633824	0.20488668965331022	0.0024311132874076566	0.30958189203994896
ENSMUSG00000027895	2090.9387657110956	0.14676616804911133	0.19207341130867067	0.0024468629422439003	0.30966409902397807
ENSMUSG00000020182	375.164482318972	0.09878059998985923	0.22650833907664786	0.0024870489165256084	0.31091144443053675
ENSMUSG00000068373	6154.619031955187	-0.1462264769110159	0.1928556957802978	0.00247506952429233	0.31091144443053675
ENSMUSG00000027514	18.996343435128022	0.027164071283796123	0.15717419732356158	0.0025318329695281873	0.314074974655624
ENSMUSG00000031431	6652.378334017844	-0.13726481107584346	0.17527504985514958	0.0025429931612932196	0.314074974655624
ENSMUSG00000046598	1877.9859810771973	-0.13726148431293056	0.1771621666915277	0.0025863440979474097	0.3168853326297895
ENSMUSG00000062345	21.007846413853812	-0.02201684838506602	0.14194691027247766	0.002596660612711181	0.3168853326297895
ENSMUSG00000055862	857.7188055823494	0.14181554661370133	0.1964991604358098	0.0026700057600008206	0.32390803604459656
ENSMUSG00000074060	30.793422315655366	0.046116247453311686	0.19292117523768257	0.002687369404463793	0.3240967501783334
ENSMUSG00000114277	133.8401540845392	0.07912018692653018	0.21536778097160963	0.0027980789449976364	0.33547493877392714
ENSMUSG00000001506	487.92918720070145	-0.13289090437160628	0.20993494582806405	0.0029058626768741947	0.3371773129504943
ENSMUSG00000015829	3645.9031127780663	-0.13365183481114015	0.18402840917847527	0.0028868222523040863	0.3371773129504943
ENSMUSG00000021134	11941.634697549882	0.12195745536119174	0.1606740985788881	0.002889083960534498	0.3371773129504943
ENSMUSG00000031026	1179.9398548015347	0.1344271577520575	0.18454779461063645	0.0028585822673921906	0.3371773129504943
ENSMUSG00000043301	1214.4421382295136	-0.13556401925889686	0.19568567721986152	0.002915550056647778	0.3371773129504943
ENSMUSG00000045658	850.5813993758208	0.13497560751074858	0.19292828013015023	0.0029274003368055792	0.3371773129504943
ENSMUSG00000086859	206.2024590237149	0.12435889562974606	0.21852643449409132	0.0028510672308027585	0.3371773129504943
ENSMUSG00000035237	1774.1662356877694	-0.12262403824313159	0.216452669065172	0.0029561980341882674	0.33793986037726725
ENSMUSG00000064215	875.2228165327451	0.10225849418770558	0.21815857707785305	0.002966987360643259	0.33793986037726725
ENSMUSG00000053465	115.89564684416686	-0.09899940592446255	0.2166214013101648	0.003035162317928423	0.3437950157025885
ENSMUSG00000031381	523.5958551335287	-0.12260055080884057	0.21338611960503	0.003071022542546267	0.34502693933508805
ENSMUSG00000037541	9250.07857344595	-0.13132140884946705	0.1981898011993513	0.0030919324881973037	0.34502693933508805
ENSMUSG00000100862	832.2350786075618	-0.12809904561067237	0.20757164494934444	0.00309652506280637	0.34502693933508805
ENSMUSG00000074578	668.2208723338883	0.12847000988550164	0.20603945720430786	0.0031147364872932118	0.34518014844586714
ENSMUSG00000017418	1749.1900786572269	-0.12666454928938597	0.18766715461595232	0.003280842154684699	0.3505923632290272
ENSMUSG00000020681	1648.228043895218	0.1251344549392246	0.20460320793371486	0.0032541064929169044	0.3505923632290272
ENSMUSG00000021070	64.14622908311101	0.050164620877022684	0.19137253314392833	0.003280011865084162	0.3505923632290272
ENSMUSG00000025892	22526.068510021905	-0.12735029502308873	0.18818617178088035	0.0032502547119565503	0.3505923632290272
ENSMUSG00000027489	868.7803120343325	-0.1264710051072605	0.1994496621528585	0.0032832764481500938	0.3505923632290272
ENSMUSG00000037370	494.0530338603354	-0.12578744154802596	0.20473675624698087	0.0032292421114763783	0.3505923632290272
ENSMUSG00000053297	923.0987646981264	0.1267454469373623	0.18313973042075277	0.0032220464336859106	0.3505923632290272
