gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000627	2089.3612102600828	3.654188866750679e-4	0.008186665072354054	0.4080236846825657	0.9999567909085414
ENSMUSG00000000628	458.9004579952252	-6.963776600561908e-5	0.008193917729341183	0.8015215869341872	0.9999567909085414
ENSMUSG00000000631	3840.9671535340854	6.685254134844513e-6	0.008185691074906281	0.9883857646681558	0.9999567909085414
ENSMUSG00000000632	3435.7420751970953	6.485109584126111e-5	0.008182641691631045	0.8988870896537441	0.9999567909085414
ENSMUSG00000000673	10.853405615011035	6.376553128683442e-5	0.008198220620622114	0.4216047866304355	0.9999567909085414
ENSMUSG00000000682	34.88764622807846	-1.021707113155894e-4	0.008197563666330256	0.4341213377579704	0.9999567909085414
ENSMUSG00000000686	33.121484059254115	5.5680915986720524e-5	0.008197720400111162	0.6437317453261766	0.9999567909085414
ENSMUSG00000000693	118.8561192141428	-1.3696083214899583e-4	0.008194924898439163	0.5769202789685177	0.9999567909085414
ENSMUSG00000000706	23.152204859715017	1.1541541814668294e-5	0.008197930863410374	0.9125539745863472	0.9999567909085414
ENSMUSG00000000708	5740.054439233013	1.9125258958486597e-4	0.00818867091394971	0.6350743626239352	0.9999567909085414
ENSMUSG00000000711	5609.725111208213	5.516810935518945e-4	0.008177695678287716	0.3445573660864656	0.9999567909085414
ENSMUSG00000000730	2.0378218111361814	-1.75277229856481e-5	0.008198538667294166	0.5940300069204959	0.9999567909085414
ENSMUSG00000000731	7.286280213791607	1.3977510148071473e-5	0.008198487690522711	0.7495585294433775	0.9999567909085414
ENSMUSG00000000732	599.9624799597401	6.81567615802961e-5	0.008195432840748085	0.7649340432197264	0.9999567909085414
ENSMUSG00000000738	2247.5922954824887	-7.292629523720086e-5	0.00818591103333866	0.8727567668343238	0.9999567909085414
ENSMUSG00000000739	8.119007459015366	-1.6174044773032153e-5	0.008198347434900364	0.8033034836468862	0.9999567909085414
ENSMUSG00000000740	5765.704515984933	-1.803890844705761e-5	0.008184536904630575	0.9699749841555462	0.9999567909085414
ENSMUSG00000000743	1919.6382857100261	-6.987300755692827e-5	0.008183020903905758	0.8898019265608529	0.9999567909085414
ENSMUSG00000000751	3347.910049212069	3.5403733817165835e-4	0.008178673184595265	0.5344825576114253	0.9999567909085414
ENSMUSG00000000753	429.02798778405	1.2819384728615516e-4	0.008191327097649975	0.7102564177887738	0.9999567909085414
ENSMUSG00000000759	1967.591779686644	-2.647793345015354e-4	0.008184136379104333	0.5858799156025625	0.9999567909085414
ENSMUSG00000000766	19.176184632524425	-7.333024691800757e-5	0.008198068192136556	0.43424459595209886	0.9999567909085414
ENSMUSG00000000776	600.6930252780469	-1.7683247410592358e-4	0.008187506252888783	0.6779776492319565	0.9999567909085414
