ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0022853,active monoatomic ion transmembrane transporter activity,2/123,225/28171,0.2577149753458134,0.3999025479504001,0.34210543784562214,55961/20528,2
GO:0016597,amino acid binding,1/123,69/28171,0.2608782852334848,0.3999793619093828,0.3421711500377678,227231,1
GO:0015179,L-amino acid transmembrane transporter activity,1/123,70/28171,0.264113356435402,0.3999793619093828,0.3421711500377678,11989,1
GO:0030276,clathrin binding,1/123,70/28171,0.264113356435402,0.3999793619093828,0.3421711500377678,54524,1
GO:0042605,peptide antigen binding,1/123,70/28171,0.264113356435402,0.3999793619093828,0.3421711500377678,15015,1
GO:0045296,cadherin binding,1/123,70/28171,0.264113356435402,0.3999793619093828,0.3421711500377678,545902,1
GO:0005230,extracellular ligand-gated monoatomic ion channel activity,1/123,71/28171,0.26733438263227915,0.40024918279648397,0.3424019742553046,19229,1
GO:0005518,collagen binding,1/123,71/28171,0.26733438263227915,0.40024918279648397,0.3424019742553046,18073,1
GO:0140097,"catalytic activity, acting on DNA",2/123,232/28171,0.26902837220206854,0.40024918279648397,0.3424019742553046,66705/21973,2
GO:0005200,structural constituent of cytoskeleton,1/123,72/28171,0.2705414243026073,0.40024918279648397,0.3424019742553046,73710,1
GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",2/123,233/28171,0.2706446855100034,0.40024918279648397,0.3424019742553046,232889/329502,2
GO:0005539,glycosaminoglycan binding,2/123,235/28171,0.27387709133949545,0.4031368400557994,0.3448722842248443,18784/74499,2
GO:0035591,signaling adaptor activity,1/123,74/28171,0.2769137946872766,0.40553521852494606,0.34692402988266063,80891,1
GO:0008514,organic anion transmembrane transporter activity,2/123,238/28171,0.2787247017062654,0.40553521852494606,0.34692402988266063,228993/11989,2
GO:0004842,ubiquitin-protein transferase activity,3/123,423/28171,0.2815492756914297,0.40553521852494606,0.34692402988266063,74165/386454/434246,3
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",1/123,76/28171,0.2832309462713909,0.40553521852494606,0.34692402988266063,13113,1
GO:0019843,rRNA binding,1/123,76/28171,0.2832309462713909,0.40553521852494606,0.34692402988266063,12696,1
GO:0048306,calcium-dependent protein binding,1/123,76/28171,0.2832309462713909,0.40553521852494606,0.34692402988266063,54524,1
GO:0019905,syntaxin binding,1/123,78/28171,0.2894933536566967,0.4126262733115813,0.35299022879787745,54524,1
GO:0015370,solute:sodium symporter activity,1/123,79/28171,0.29260417548064677,0.41518160034416096,0.35517623955924876,55961,1
GO:0019003,GDP binding,1/123,81/28171,0.29878534760530784,0.42205105155009853,0.3610528628131169,60440,1
GO:0003725,double-stranded RNA binding,1/123,82/28171,0.3018558140433477,0.42259813966068677,0.3615208813805708,58203,1
GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",1/123,82/28171,0.3018558140433477,0.42259813966068677,0.3615208813805708,230379,1
GO:0019787,ubiquitin-like protein transferase activity,3/123,448/28171,0.3112928798580575,0.42824199428776044,0.36634904106154276,74165/386454/434246,3
GO:0008081,phosphoric diester hydrolase activity,1/123,86/28171,0.31400489235996,0.42824199428776044,0.36634904106154276,320981,1
GO:0042562,hormone binding,1/123,87/28171,0.3170092504956099,0.42824199428776044,0.36634904106154276,381853,1
GO:0043621,protein self-association,1/123,87/28171,0.3170092504956099,0.42824199428776044,0.36634904106154276,19229,1
GO:0015291,secondary active transmembrane transporter activity,2/123,262/28171,0.31737510156299953,0.42824199428776044,0.36634904106154276,55961/20528,2
GO:0016746,acyltransferase activity,2/123,262/28171,0.31737510156299953,0.42824199428776044,0.36634904106154276,232889/329502,2
GO:0015171,amino acid transmembrane transporter activity,1/123,88/28171,0.32000055736746,0.42824199428776044,0.36634904106154276,11989,1
GO:0016209,antioxidant activity,1/123,88/28171,0.32000055736746,0.42824199428776044,0.36634904106154276,14778,1
GO:0043178,alcohol binding,1/123,88/28171,0.32000055736746,0.42824199428776044,0.36634904106154276,11815,1
GO:0051082,unfolded protein binding,1/123,88/28171,0.32000055736746,0.42824199428776044,0.36634904106154276,59030,1
GO:0004175,endopeptidase activity,3/123,456/28171,0.32084162111717923,0.42824199428776044,0.36634904106154276,11434/227231/19144,3
GO:0004725,protein tyrosine phosphatase activity,1/123,91/28171,0.32889673153387156,0.4353044976183594,0.3723908150051797,545902,1
GO:0004896,cytokine receptor activity,1/123,91/28171,0.32889673153387156,0.4353044976183594,0.3723908150051797,16161,1
GO:0048029,monosaccharide binding,1/123,92/28171,0.33183639328676817,0.43735758947837644,0.3741471776322953,11434,1
GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",1/123,94/28171,0.3376774543660044,0.44136264782278584,0.3775733929578385,329502,1
GO:0043130,ubiquitin binding,1/123,94/28171,0.3376774543660044,0.44136264782278584,0.3775733929578385,21973,1
GO:0015267,channel activity,3/123,483/28171,0.353066494967761,0.45629803504846483,0.39035019873820215,12290/118454/19229,3
GO:0022803,passive transmembrane transporter activity,3/123,483/28171,0.353066494967761,0.45629803504846483,0.39035019873820215,12290/118454/19229,3
GO:0008238,exopeptidase activity,1/123,100/28171,0.3548984717043615,0.45629803504846483,0.39035019873820215,242939,1
GO:0016410,N-acyltransferase activity,1/123,100/28171,0.3548984717043615,0.45629803504846483,0.39035019873820215,329502,1
GO:0003727,single-stranded RNA binding,1/123,101/28171,0.3577251429301944,0.4580626830203709,0.3918598056916122,12696,1
GO:0003823,antigen binding,1/123,104/28171,0.3661316552432192,0.46692903401463176,0.3994447208278889,15015,1
GO:0050839,cell adhesion molecule binding,2/123,305/28171,0.38524365924642434,0.4874591059209518,0.4170076227761526,23876/545902,2
GO:0005262,calcium channel activity,1/123,111/28171,0.3853248170613238,0.4874591059209518,0.4170076227761526,12290,1
GO:0022839,monoatomic ion gated channel activity,2/123,309/28171,0.39142248273917135,0.4931923282513559,0.42191223402622263,12290/19229,2
